fold,decision_date,n_symbols,rank_ic,top15_excess,top15_bottom15_spread,mae,mse,top15_overlap,top15_turnover,model,seed
confirmatory_2026,2026-04-20,428,0.373902640947225,0.05936316719671716,0.0775772102600917,0.04532654197232439,0.0037153424297807925,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-04-27,428,0.14402481232571626,0.0063585625357462615,0.011628299892367754,0.03934814411371767,0.00341781794550847,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-05-04,428,0.13980733530296882,0.0826748115773091,0.09144770332158715,0.04975368817338221,0.005706449513113898,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-05-11,428,0.2418802599884814,0.013157600526115332,0.040965691610309,0.045894094180245426,0.003711751799330927,0.6,0.4,patch_10_stride_5,20260823
confirmatory_2026,2026-05-18,428,-0.12521230875758224,0.06391212240589389,0.03837688490666278,0.0462603953023999,0.003923331744988644,0.8,0.2,patch_10_stride_5,20260823
confirmatory_2026,2026-05-25,428,0.17979370101325057,0.14031105049693224,0.14818986630248632,0.056067451251946225,0.007481005858778611,0.8666666666666667,0.13333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-06-01,428,-0.2279883438149104,-0.032702196957192196,-0.03187724318335408,0.04619275849842551,0.003959332421321773,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-06-08,428,0.14968821587482534,0.06742254631906577,0.05979029943049265,0.0379863291987047,0.003125316770107153,0.8,0.2,patch_10_stride_5,20260823
confirmatory_2026,2026-06-15,428,0.34462237412588875,0.14974871454575914,0.17946988881613934,0.04745936736481688,0.00414982963062214,0.9333333333333333,0.06666666666666667,patch_10_stride_5,20260823
confirmatory_2026,2026-06-22,428,-0.2654815691432821,-0.08694728645085817,-0.09935860597206088,0.06065174238229495,0.0064382447181331095,0.8666666666666667,0.13333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-06-29,429,-0.14018844110312154,-0.04809477029211022,-0.048675310567020166,0.04760301174702522,0.004524316562377233,0.9333333333333333,0.06666666666666667,patch_10_stride_5,20260823
confirmatory_2026,2026-07-06,429,0.01371213007813747,0.020820200637487532,0.010078182592748881,0.037089905616905366,0.0023993109999203978,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-07-13,429,-0.2294064987392525,-0.0759944176993839,-0.07847769166038017,0.04687463549005063,0.004927922838780067,0.6,0.4,patch_10_stride_5,20260823
